City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alpine,32.835,-116.7664,29.26,44,0,3.6,US,1725415353
1,machico,32.7,-16.7667,22.35,69,40,7.72,PT,1725415356
2,wailua homesteads,22.0669,-159.378,28.4,73,4,1.79,US,1725415358
3,longyearbyen,78.2186,15.6401,4.91,93,40,1.03,SJ,1725415362
4,luderitz,-26.6481,15.1594,15.45,64,73,4.51,NA,1725415366
5,blackmans bay,-43.0167,147.3167,15.41,60,100,0.89,AU,1725415370
6,thompson,55.7435,-97.8558,19.09,68,100,5.66,CA,1725415378
7,tolanaro,-25.0319,46.9987,20.04,77,40,5.14,MG,1725415381
8,albany,42.6001,-73.9662,15.81,63,0,0.45,US,1725415384
9,waitangi,-43.9535,-176.5597,12.68,96,100,2.24,NZ,1725415389
10,stanley,54.868,-1.6985,11.39,92,40,3.09,GB,1725415392
11,badiyah,22.45,58.8,24.89,83,83,4.29,OM,1725415394
12,tadine,-21.55,167.8833,22.99,63,100,5.6,NC,1725415398
13,bethel,41.3712,-73.414,14.39,84,0,1.27,US,1725415399
14,invercargill,-46.4,168.35,12.23,63,94,4.02,NZ,1725415242
15,belmonte,-15.8631,-38.8828,21.8,84,29,2.99,BR,1725415402
16,visaginas,55.6,26.4167,14.96,71,11,2.51,LT,1725415403
17,port mathurin,-19.6833,63.4167,22.07,70,49,9.88,MU,1725415404
18,port elizabeth,-33.918,25.5701,16.29,93,0,3.09,ZA,1725415406
19,vorgashor,67.5833,63.95,3.2,82,21,1.74,RU,1725415408
20,dryden,49.7833,-92.7503,21.16,73,0,5.14,CA,1725415410
21,geraldton,-28.7667,114.6,21.23,56,0,6.69,AU,1725415411
22,gadzhiyevo,69.2551,33.3362,11.2,81,7,6.2,RU,1725415412
23,carnarvon,-24.8667,113.6333,20.67,62,22,3.47,AU,1725415413
24,ushuaia,-54.8,-68.3,2.81,65,75,2.06,AR,1725415415
25,lompoc,34.6391,-120.4579,16.23,98,0,3.09,US,1725415416
26,college,64.8569,-147.8028,18.58,42,48,2.6,US,1725415417
27,tereze,43.9361,42.4434,15.08,81,1,1.63,RU,1725415418
28,grytviken,-54.2811,-36.5092,1.63,98,100,4.4,GS,1725415419
29,port-aux-francais,-49.35,70.2167,3.92,96,45,10.83,TF,1725415421
30,adamstown,-25.066,-130.1015,17.52,56,1,6.62,PN,1725415422
31,hithadhoo,-0.6,73.0833,27.79,77,100,2.52,MV,1725415423
32,edinburgh of the seven seas,-37.0676,-12.3116,10.01,58,57,5.1,SH,1725415425
33,santa marta,11.2408,-74.199,28.83,77,75,2.06,CO,1725415427
34,bochum,51.4833,7.2167,18.94,97,100,1.2,DE,1725415428
35,anadyr,64.75,177.4833,13.28,71,40,4.0,RU,1725415429
36,puerto ayora,-0.7393,-90.3518,20.31,95,76,2.24,EC,1725415430
37,kodiak,57.79,-152.4072,10.48,96,100,9.44,US,1725415432
38,georgetown,5.4112,100.3354,29.97,98,20,2.57,MY,1725415433
39,taytay,14.5678,121.1394,27.17,93,100,6.69,PH,1725415434
40,puerto santa,-8.9906,-78.6456,16.55,84,52,4.92,PE,1725415435
41,avarua,-21.2078,-159.775,25.03,83,20,3.09,CK,1725415437
42,bredasdorp,-34.5322,20.0403,13.78,82,100,3.55,ZA,1725415438
43,azadshahr,34.7909,48.5707,11.27,30,0,1.03,IR,1725415439
44,havsa,41.549,26.8221,22.53,51,34,1.87,TR,1725415440
45,choele choel,-39.2667,-65.6833,12.95,30,0,8.08,AR,1725415441
46,tiksi,71.6872,128.8694,4.11,84,100,1.39,RU,1725415443
47,margaret river,-33.95,115.0667,14.39,70,63,9.5,AU,1725415444
48,san andres,12.5847,-81.7006,29.01,84,20,2.57,CO,1725415445
49,rethymno,35.3647,24.4714,24.24,69,0,1.28,GR,1725415446
50,atafu village,-8.5421,-172.5159,28.18,68,46,7.37,TK,1725415447
51,arba minch,6.0333,37.55,19.04,81,88,0.89,ET,1725415449
52,hilo,19.7297,-155.09,26.72,88,10,0.89,US,1725415250
53,laojunmiao,39.8333,97.7333,8.93,74,100,3.3,CN,1725415451
54,isafjordur,66.0755,-23.124,4.39,87,71,2.38,IS,1725415299
55,vila franca do campo,37.7167,-25.4333,21.23,64,75,2.86,PT,1725415454
56,iqaluit,63.7506,-68.5145,5.85,81,20,6.71,CA,1725415455
57,klyuchi,52.2667,79.1667,13.8,88,100,4.9,RU,1725415456
58,mariental,-24.6333,17.9667,14.42,20,74,5.33,NA,1725415457
59,fortuna,40.5982,-124.1573,19.96,77,0,3.09,US,1725415459
60,fairfield,41.2668,-73.3162,14.83,83,0,1.54,US,1725415461
61,jala,21.0833,-104.4333,20.68,97,100,1.67,MX,1725415462
62,acarau,-2.8856,-40.12,25.05,84,8,7.55,BR,1725415463
63,juneau,58.3019,-134.4197,13.01,98,100,3.6,US,1725415464
64,weno,7.4515,151.8468,32.97,70,75,4.12,FM,1725415466
65,naze,28.3667,129.4833,27.51,70,84,3.45,JP,1725415467
66,fada n'gourma,12.0622,0.3578,23.49,90,86,3.3,BF,1725415468
67,tshikapa,-6.4167,20.8,25.95,37,77,0.22,CD,1725415469
68,sumbe,-11.2061,13.8437,20.21,95,23,1.13,AO,1725415472
69,papatowai,-46.5619,169.4708,10.88,61,100,6.23,NZ,1725415473
70,saipan,15.1355,145.701,31.39,74,40,3.6,MP,1725415475
71,st. john's,47.5649,-52.7093,14.43,92,20,6.69,CA,1725415477
72,whitby,54.4877,-0.615,11.75,89,59,3.31,GB,1725415479
73,bamboo flat,11.7,92.7167,27.05,89,100,4.12,IN,1725415481
74,ilulissat,69.2167,-51.1,4.01,87,100,1.03,GL,1725415484
75,olonkinbyen,70.9221,-8.7187,5.63,98,100,3.08,SJ,1725415487
76,nova vicosa,-17.8919,-39.3719,22.44,84,5,4.17,BR,1725415490
77,kismayo,-0.3582,42.5454,24.74,79,5,6.57,SO,1725415493
78,puerto natales,-51.7236,-72.4875,1.55,85,55,4.53,CL,1725415495
79,malvan,16.0667,73.4667,26.61,84,100,5.4,IN,1725415497
80,shingu,33.7333,135.9833,26.95,78,34,2.23,JP,1725415499
81,cabo san lucas,22.8909,-109.9124,30.17,63,20,4.12,MX,1725414935
82,minas de marcona,-15.2119,-75.1103,9.78,86,71,5.93,PE,1725415504
83,sao felix do xingu,-6.6447,-51.995,24.79,37,7,1.06,BR,1725415506
84,brisas de zicatela,15.8369,-97.0419,27.62,83,100,1.54,MX,1725415509
85,sisimiut,66.9395,-53.6735,6.0,89,100,0.89,GL,1725415517
86,sandnessjoen,66.0217,12.6316,14.66,87,100,4.59,NO,1725415519
87,lebu,-37.6167,-73.65,8.55,89,81,2.46,CL,1725415521
88,hadibu,12.65,54.0333,25.49,81,90,10.11,YE,1725415523
89,fale old settlement,-9.3852,-171.2468,28.03,73,40,5.89,TK,1725415525
90,motueka,-41.1333,173.0167,14.5,68,78,2.62,NZ,1725415526
91,west island,-12.1568,96.8225,26.99,74,30,5.66,CC,1725415528
92,al jawf,29.5,38.75,23.23,46,0,4.65,SA,1725415531
93,guarapari,-20.6667,-40.4975,21.69,93,93,1.36,BR,1725415533
94,khandyga,62.6667,135.6,8.7,91,100,0.84,RU,1725415536
95,turiacu,-1.6633,-45.3717,23.8,88,5,2.01,BR,1725415537
96,kapuskasing,49.4169,-82.4331,19.05,63,75,5.14,CA,1725415542
97,port alfred,-33.5906,26.891,13.99,92,100,3.83,ZA,1725415543
98,jamestown,42.097,-79.2353,14.8,78,0,2.57,US,1725415545
99,punta arenas,-53.15,-70.9167,3.06,75,0,9.77,CL,1725415546
100,dudinka,69.4058,86.1778,4.81,76,100,5.55,RU,1725415549
101,haiku-pauwela,20.9219,-156.3051,28.45,67,40,10.29,US,1725415550
102,pucon,-39.2822,-71.9543,6.28,95,100,3.66,CL,1725415553
103,ko samui,9.5357,99.9357,27.95,78,40,2.57,TH,1725415555
104,olenegorsk,68.15,33.3,10.74,79,0,3.33,RU,1725415556
105,enewetak,11.3474,162.3373,28.97,72,22,1.59,MH,1725415557
106,hassi messaoud,31.6804,6.0729,32.92,22,0,2.57,DZ,1725415559
107,pisco,-13.7,-76.2167,17.03,82,100,1.54,PE,1725415560
108,harper,4.375,-7.7169,23.78,87,68,2.74,LR,1725415561
109,mont-dore,-22.2833,166.5833,25.0,99,16,6.19,NC,1725415563
110,angaur state,6.906,134.13,29.2,68,100,2.19,PW,1725415568
111,masjed soleyman,31.9364,49.3039,32.22,23,3,2.8,IR,1725415573
112,dembi dolo,8.5333,34.8,13.23,91,30,1.54,ET,1725415576
113,mount gambier,-37.8333,140.7667,17.87,43,100,5.67,AU,1725415331
114,yellowknife,62.456,-114.3525,11.9,97,75,1.03,CA,1725415465
115,benalla,-36.55,145.9833,15.09,59,2,4.7,AU,1725415585
116,udachny,66.4167,112.4,8.28,70,100,2.96,RU,1725415587
117,kasulu,-4.5767,30.1025,18.98,58,9,0.29,TZ,1725415590
118,conduaga,8.862,117.4893,29.93,69,100,3.53,PH,1725415593
119,whitehorse,60.7161,-135.0538,15.43,48,75,2.06,CA,1725415595
120,alofi,-19.0595,-169.9187,24.94,65,75,5.14,NU,1725415597
121,puerto aysen,-45.4,-72.7,3.92,99,99,2.44,CL,1725415598
122,toliara,-23.35,43.6667,19.17,76,0,6.29,MG,1725415600
123,nuku'alofa,-21.1333,-175.2,25.19,78,20,3.09,TO,1725415601
124,soio,-6.1349,12.3689,21.64,93,9,2.7,AO,1725415603
125,salalah,17.0151,54.0924,26.05,94,100,0.51,OM,1725415605
126,novo brdo,45.5864,16.0229,21.21,88,0,2.06,HR,1725415607
127,kharp,66.8014,65.8081,4.74,82,16,2.2,RU,1725415608
128,manzini,-26.25,31.5,12.8,91,0,1.43,SZ,1725415610
129,hirara,24.8,125.2833,29.01,79,0,4.3,JP,1725415611
130,villa regina,-39.1,-67.0667,11.66,22,0,1.79,AR,1725415612
131,capayan,-28.761,-66.0502,16.69,33,0,6.57,AR,1725415614
132,poplar bluff,36.757,-90.3929,22.16,60,0,3.6,US,1725415619
133,hermanus,-34.4187,19.2345,14.33,90,100,5.61,ZA,1725415621
134,hawaiian paradise park,19.5933,-154.9731,27.07,78,100,2.06,US,1725415622
135,pangkalan brandan,4.0238,98.2782,27.24,82,100,0.98,ID,1725415624
136,kalmunai,7.4167,81.8167,28.28,67,100,1.21,LK,1725415625
137,hamilton,39.1834,-84.5333,20.32,56,20,0.45,US,1725415626
138,raisinghnagar,29.5358,73.4492,30.17,67,93,2.52,IN,1725415628
139,huarmey,-10.0681,-78.1522,16.83,85,37,4.36,PE,1725415629
140,alice springs,-23.7,133.8833,27.75,13,6,2.06,AU,1725415631
141,dwarka,22.2394,68.9678,27.11,82,91,3.72,IN,1725415632
142,cole harbour,44.6724,-63.4751,13.85,69,0,2.24,CA,1725415633
143,tokar,18.4254,37.729,31.91,47,45,2.08,SD,1725415635
144,guerrero negro,27.9769,-114.0611,20.6,83,0,7.68,MX,1725415636
145,ust-nera,64.5667,143.2,6.63,85,100,1.8,RU,1725415637
146,pijijiapan,15.7011,-93.23,25.66,92,66,1.33,MX,1725415638
147,jiangzi,28.95,89.6333,7.84,54,97,1.78,CN,1725415639
148,prince rupert,54.3161,-130.3201,14.53,77,89,1.24,CA,1725415641
149,kerikeri,-35.2268,173.9474,17.73,66,64,2.24,NZ,1725415642
150,ballina,-28.8667,153.5667,18.24,59,38,3.51,AU,1725415643
151,mhasvad,17.6333,74.7833,22.8,84,96,7.08,IN,1725415644
152,xining,36.6167,101.7667,14.06,93,100,4.1,CN,1725415646
153,ribeira grande,38.5167,-28.7,21.54,78,6,3.13,PT,1725415647
154,lospalos,-8.5186,127.0025,28.72,51,0,4.11,TL,1725415649
155,kerouane,9.2667,-9.0167,20.97,98,100,1.86,GN,1725415650
156,sargatskoye,55.6101,73.4972,8.91,95,100,4.41,RU,1725415651
157,skovorodino,53.9833,123.9167,9.43,84,100,4.88,RU,1725415653
158,baruun-urt,46.6806,113.2792,13.64,58,100,5.35,MN,1725415654
159,sabang,5.8933,95.3214,28.31,77,100,9.9,ID,1725415656
160,garhi khairo,28.0606,67.9803,30.34,63,100,3.34,PK,1725415658
161,lauro de freitas,-12.8944,-38.3272,25.01,69,20,4.63,BR,1725415659
162,tanjung pandan,-2.75,107.65,30.53,59,70,4.14,ID,1725415662
163,igarka,67.4667,86.5833,6.22,75,96,7.96,RU,1725415664
164,revda,56.801,59.9303,6.79,93,89,3.06,RU,1725415667
165,vilyuysk,63.7553,121.6247,11.89,50,100,2.92,RU,1725415669
166,port augusta,-32.5,137.7667,24.55,15,0,12.59,AU,1725415670
167,hobyo,5.3505,48.5268,24.23,83,47,11.3,SO,1725415671
168,armacao de buzios,-22.7469,-41.8817,20.57,88,0,3.33,BR,1725415673
169,kirovsk,48.6375,38.6428,19.91,29,100,4.62,UA,1725415674
170,lihue,21.9789,-159.3672,28.77,66,0,5.14,US,1725415678
171,tatvan,38.5067,42.2817,16.17,37,0,1.58,TR,1725415680
172,greymouth,-42.4667,171.2,13.95,52,7,2.52,NZ,1725415681
173,mokolo,10.7398,13.8019,19.53,91,100,1.39,CM,1725415682
174,la passe,45.5549,-0.8967,16.13,81,38,3.9,FR,1725415684
175,utrik,11.2278,169.8474,28.87,78,23,7.24,MH,1725415685
176,vila velha,-20.3297,-40.2925,23.97,90,75,2.06,BR,1725415687
177,codrington,-38.2667,141.9667,16.44,56,100,9.93,AU,1725415688
178,fada,7.25,4.0667,21.44,98,100,1.19,NG,1725415690
179,jiayuguan,39.8167,98.3,11.46,60,100,4.87,CN,1725415691
180,smithers,54.7804,-127.1743,18.17,46,100,2.16,CA,1725415692
181,mentor-on-the-lake,41.705,-81.3604,16.77,78,0,2.57,US,1725415693
182,acajutla,13.5928,-89.8275,27.53,80,100,0.79,SV,1725415696
183,petukhovo,55.0692,67.9019,8.74,89,100,5.01,RU,1725415698
184,iskateley,67.6803,53.1512,9.0,95,100,2.96,RU,1725415700
185,deoband,29.7,77.6833,26.15,84,8,1.75,IN,1725415701
186,palapye,-22.546,27.1251,13.15,60,0,3.07,BW,1725415702
187,karratha,-20.7377,116.8463,29.9,34,3,4.08,AU,1725415704
188,puerto baquerizo moreno,-0.9,-89.6,20.6,86,100,5.46,EC,1725415705
189,brookings,44.3114,-96.7984,20.66,63,0,7.72,US,1725415708
190,tura,25.5198,90.2201,26.38,86,69,1.02,IN,1725415709
191,chibougamau,49.9168,-74.3659,11.79,94,100,3.09,CA,1725415710
192,olinda,-8.0089,-34.8553,25.85,73,20,4.12,BR,1725415711
193,kulgam,33.65,75.0167,18.6,78,88,1.36,IN,1725415713
194,thisted,56.9552,8.6949,17.19,97,100,1.59,DK,1725415715
195,nabire,-3.3667,135.4833,27.43,84,91,0.78,ID,1725415716
196,kargopol',61.5071,38.9456,8.18,82,5,1.61,RU,1725415718
197,chepo,9.1667,-79.1,24.98,92,95,0.52,PA,1725415719
198,tangalle,6.024,80.7911,27.19,81,100,4.67,LK,1725415720
199,griffith,41.5284,-87.4237,17.97,100,0,3.09,US,1725415722
200,antsiranana,-12.2787,49.2917,22.41,79,7,6.77,MG,1725415724
201,el attaf,36.2239,1.6719,25.86,74,0,1.12,DZ,1725415727
202,loiza,18.4313,-65.8802,29.7,83,40,3.09,PR,1725415730
203,aguas buenas,18.2569,-66.1029,27.45,77,100,0.45,PR,1725415732
204,bonthe,7.5264,-12.505,25.24,84,100,4.05,SL,1725415735
205,kaoma,-14.7833,24.8,10.3,49,0,2.55,ZM,1725415738
206,kirakira,-10.4544,161.9205,28.47,66,100,7.58,SB,1725415740
207,badger,64.8,-147.5333,19.43,44,75,3.6,US,1725415742
208,severo-yeniseyskiy,60.3725,93.0408,5.85,89,100,1.89,RU,1725415743
209,bikenibeu village,1.3673,173.1241,27.94,78,100,6.1,KI,1725415744
210,isla mujeres,21.2311,-86.731,26.03,80,100,3.51,MX,1725415746
211,tsiombe,-25.3,45.4833,17.11,82,4,4.11,MG,1725415748
212,kirensk,57.7853,108.1119,10.79,67,100,3.04,RU,1725415750
213,stephenville,32.2207,-98.2023,22.07,91,100,2.06,US,1725415751
214,gaspe,48.8334,-64.4819,7.19,80,16,2.66,CA,1725415752
215,deniliquin,-35.5333,144.9667,18.79,36,6,6.1,AU,1725415753
216,holualoa,19.6228,-155.9522,23.82,98,55,2.77,US,1725415754
217,port lincoln,-34.7333,135.8667,21.85,31,99,11.03,AU,1725415756
218,blenheim,-41.516,173.9528,13.62,68,87,1.79,NZ,1725415683
219,tvoroyri,61.5556,-6.8111,10.35,89,60,4.36,FO,1725415758
220,wanning,18.8003,110.3967,29.69,71,100,0.57,CN,1725415759
221,lata,40.1629,-8.3327,11.68,93,0,0.57,PT,1725415760
222,lethem,3.3803,-59.7968,26.0,78,49,1.97,GY,1725415762
223,isangel,-19.55,169.2667,24.06,83,75,3.6,VU,1725415763
224,la'ie,21.6477,-157.9253,28.66,76,5,2.68,US,1725415764
225,boa vista,2.8197,-60.6733,28.99,70,0,2.06,BR,1725415765
226,ancud,-41.8697,-73.8203,7.09,79,64,5.22,CL,1725415767
227,bilibino,68.0546,166.4372,8.39,98,100,1.6,RU,1725415768
228,malabar,-33.9667,151.25,22.1,42,0,6.69,AU,1725415769
229,puerto deseado,-47.7503,-65.8938,9.33,48,50,8.37,AR,1725415772
230,masterton,-40.9597,175.6575,10.37,72,100,4.05,NZ,1725415773
231,afaahiti,-17.75,-149.2833,22.43,80,89,9.81,PF,1725415774
232,nuuk,64.1835,-51.7216,7.34,93,100,3.6,GL,1725415775
233,dubbo,-32.25,148.6167,19.07,34,5,6.69,AU,1725415496
234,lekki,6.3607,4.8333,22.8,96,99,1.14,NG,1725415778
235,hit,33.6416,42.8251,28.1,30,0,4.2,IQ,1725415779
236,sturgis,41.7992,-85.4192,15.82,77,0,1.54,US,1725415780
237,mili,6.0815,171.735,29.04,75,100,6.61,MH,1725415782
238,mossel bay,-34.1831,22.146,15.32,82,100,2.9,ZA,1725415783
239,bat khela,34.6167,71.9714,24.55,69,0,1.18,PK,1725415784
240,magong,23.5654,119.5863,28.61,81,89,1.7,TW,1725415785
241,kingston,17.997,-76.7936,30.53,70,20,7.2,JM,1725415787
242,san patricio,28.017,-97.5169,26.97,83,81,3.71,US,1725415788
243,salinopolis,-0.6136,-47.3561,27.12,78,57,5.42,BR,1725415790
244,kursavka,44.4564,42.5093,17.19,82,0,1.69,RU,1725415792
245,saint-joseph,-21.3667,55.6167,19.21,81,17,5.62,RE,1725415794
246,mount pearl,47.5166,-52.7813,13.97,92,100,2.24,CA,1725415796
247,remire-montjoly,4.9167,-52.2667,26.02,94,0,0.0,GF,1725415797
248,nadym,65.5333,72.5167,5.16,81,99,6.92,RU,1725415798
249,new norfolk,-42.7826,147.0587,16.07,46,90,4.31,AU,1725415799
250,minas de barroteran,27.6333,-101.2833,28.36,58,79,6.18,MX,1725415800
251,papao,-17.75,-149.55,23.72,79,36,10.44,PF,1725415802
252,oliveira dos brejinhos,-12.3169,-42.8961,22.02,38,9,2.21,BR,1725415803
253,iwanai,42.9744,140.5089,26.1,46,0,1.59,JP,1725415804
254,dauphin,51.1494,-100.0502,23.98,40,61,3.02,CA,1725415806
255,cockburn town,21.4612,-71.1419,28.76,86,100,10.36,TC,1725415807
256,akjoujt,19.6969,-14.4164,36.18,28,99,4.44,MR,1725415808
257,marovoay,-16.1,46.6333,20.51,79,4,2.08,MG,1725415809
258,turuntayevo,52.2,107.6167,11.84,64,90,2.42,RU,1725415810
259,adh dhibiyah,24.5014,45.9686,26.64,24,0,3.1,SA,1725415812
260,la palma,33.8464,-118.0467,29.89,60,0,4.12,US,1725415814
261,florencia,43.7667,11.25,23.36,69,0,1.03,IT,1725415816
262,la foa,-21.7108,165.8276,24.22,56,0,7.76,NC,1725415818
263,manta,-0.95,-80.7333,21.88,83,20,4.63,EC,1725415820
264,shelbyville,35.4834,-86.4603,25.62,32,0,0.45,US,1725415822
265,aasiaat,68.7098,-52.8699,3.12,97,100,2.33,GL,1725415825
266,bol,13.4586,14.7147,25.08,83,100,3.75,TD,1725415826
267,hasaki,35.7333,140.8333,23.67,89,100,7.5,JP,1725415828
268,grand-lahou,5.1367,-5.0242,22.41,96,94,3.28,CI,1725415829
269,tibanbang,6.6315,126.1055,28.88,79,85,4.35,PH,1725415830
270,lerwick,60.1545,-1.1494,11.76,92,31,1.07,GB,1725415832
271,ujae,8.9322,165.7642,29.18,75,6,5.69,MH,1725415833
272,deqen,29.9618,90.7188,12.31,68,100,0.64,CN,1725415834
273,gizo,-8.103,156.8419,27.4,79,100,7.6,SB,1725415835
274,yuzhno-kurilsk,44.0306,145.8556,21.13,74,9,4.4,RU,1725415837
275,duba,27.3513,35.6901,32.55,40,0,2.26,SA,1725415838
276,mirny,62.5353,113.9611,7.82,86,100,3.55,RU,1725415839
277,conde,-7.2597,-34.9075,22.7,88,40,1.54,BR,1725415840
